head	rel	tail
u--d2daWmftYumOaYpbD5D8Q	CATAPULTS_TO	r-IsX2uIp6D1fpI5jQ6nv7RQ
r-m2OYy84ru5H_U2ziR8HmJg	GETTING_FROM	u-7jL3l2fLoMIYPCBqhByagw
u-0E0RQR-F6n3vTMKN5N5otw	GETTING_FROM	Shrimp_Pekoras
r-yN6ruubQJBCVmcMuADLCaQ	DROVE_FROM	u-badqE935Y9A1_lSNVrE4lw
u-JPmEINY29c9W9gwVPb0_PQ	GETTING_FROM	r-AZQ21cTR4a4kc7hZZV_IEQ
Excellent	VISITED_ON	Shrimp_Pekoras
u--d2daWmftYumOaYpbD5D8Q	SERVED_ON	r-zerZabI-xjJAbX5YhrbIdA
u-UkiH9FHWesHo3dmwikKWsw	VISITED_ON	r-dWk_YkzguQVfSEBetOPUTw
r-286WxNrQsUg32J9OJrxYBw	REMINDED	r-9yvBfI4Wnds4uFK8y59_iA
u-hDtBCsUCMeXbs_gxGoceTQ	FINISH	r-A5ANEWijR4MaCbDZsPMc2g
Mango_Mastani	SERVED_ON	r-dkcgu0cstw04dC5Jva7RHw
u-pBeNjksmGLPlBTaujOqiLQ	VISITED_ON	u-tRmW0n2d_Q4c_TXqfUSINA
u-zOV8SA3Le4THJE1OiGYS4g	SERVED_ON	Medu_Wada
r-VOl3Xvl--GjzkdvJ2Bd9Tg	CHICKEN	r-Hb09_FIWLdMDpRBXeUHVuQ
u-ALlSCy42l83N0RmRIY4Kjw	VISITED_ON	r-zerZabI-xjJAbX5YhrbIdA
r-0o_QhnZ3_pdiRvcPmEii5g	FINISH	r-jiLjCqNjtNpCEP1VuYWIQw
r-maDeVbeylyO7m3XYazrZUw	FINISH	u-mbT9_szJjOen3wEYzlqrAg
r-WiRgFmPrf2lrbGmyJXs2HQ	FINISH	u-NPPnwMFQjv80vV2mQr8tdg
r-GQXZ_jZTd1Qwdj7opaYQyQ	LOOKED_LIKE	r-ybr08Xe9i26Z6S6xqED3Jg
u-3Fmj7MfGfsUUK1kTWCSL_g	VISITED_ON	u-tRmW0n2d_Q4c_TXqfUSINA
r-ranTwwiHFn2k0u-3e9Ok_w	DROVE_FROM	r-7_b5bv1sYi8DoTVuDi9XJQ
u-waSAVh9FIdCNGEJp1_wq5A	DROVE_FROM	r-W77W48XgerisG1sOOJyL7A
r-F6px98jQBMDSWkFyMjptQw	CHICKEN	r-Hb09_FIWLdMDpRBXeUHVuQ
u-VDjzt6N--TMXH4E7Y6ialQ	SERVED_ON	u-4lvyTtfuz4a1NuOwH22jMA
r-DCJljjCKRbRjxBETJLCvtQ	FINISH	r-4rCuom4NIj8UHH4a1rpdEw
u-yMODenxFTfmib9uYz_3Vqw	FINISH	r-oiu65tEKPZusfiJTrj4_7A
u-eSqCqWxdazlz9KGlNC7g_g	CONVINCED_WITH	r-oebbd3cDn7LaU_pNXgc3Mw
u-0LUt7xSvYgLpL0zBezI5QA	PICKED	r-ranTwwiHFn2k0u-3e9Ok_w
u-94J1J7zJCVgfN8bz1qF-8g	CATAPULTS_TO	r-XtMXDKsDQZlOVhxwOxTCBg
u-PkRFSQgSfca9Tamq7b2LdQ	REMEMBER_FROM	u-j8QBuUMiTwlQ4WkA3lPFSw
r-vRfM1Y7avSkxB5ZL368saQ	VISITED_ON	r-wiVDNBQB7rfNmsw347fPrA
r-xkHWn45odal3A9kDOweYgQ	REMEMBER_FROM	r-eTrfrNVH-acY0VEOwY5P6g
u-7jL3l2fLoMIYPCBqhByagw	REMINDED	r-2W2OQYkqY58hxMluYxEuDg
u-PX8kjj_GwRqVz8zl9hTDxQ	GETTING_FROM	r-pB-eC9cvGuI-SqhLO625YQ
Terrific	REMINDED	u-oQhNPQA9D4TwDx4HPCA27Q
r-oHAv84K_t25Fpn89cDyM3w	EATING	u-Bf3FdFD_67iJvnoXu9l-WA
Chili_Cauliflower	GETTING_FROM	u-AOvL-UrNpwqxf9zBJ4mN_w
u-MVx_t02mVfJxI4TpLEJtNQ	VISITED_ON	u-4lvyTtfuz4a1NuOwH22jMA
u-srT0GAsXM3d3GKF9WAcefg	GETTING_FROM	u-5SAuwOC7FX6dnlmgts_EoA
u-e8ubjLkajDlpzTzt-68geA	GETTING_FROM	Dirty
r-KpIJCSVIAZCxUhNtL0oLWw	GETTING_FROM	u-X9sQEge15Ud_UyEoIk-l3A
r-46GrMV8DVHOaFONU5AYHBw	CHICKEN	r-Hb09_FIWLdMDpRBXeUHVuQ
r-FrzNWQ_6VTm_K3icfPqcdg	GETTING_FROM	r-3TgtF4SvYdchMA39otX34w
u-O0evs8847ecEkeFMEuK4PA	CHICKEN	u-IgjjNyJt8l_SKcl0KPYgVA
r-16EquhLtluC7UeZRWdxjiA	PICKED	r-Gw7kFc-I-H4EeTObxGW1xw
r-NLaGpX4hCMraZ9OukN0AnQ	VISITED_ON	Quiet
r-mUZngI5vEH309kE5l4Z-uQ	REMEMBER_FROM	r-LwK60Lj00GBNprAP_LMJ2g
r-GQXZ_jZTd1Qwdj7opaYQyQ	PICKED	u-ZbU40C9od3CA2CANZJ-LQg
u-F21kxY7kQRQwlyvxpLZk6Q	VISITED_ON	u-AvC5XQAElcGAAn_Wr5auEg
r-0TBvI95T0EP6IeBVYOW7Cw	LOOKED_LIKE	u-Ri3cu8XTnyA83pyJrzTMvw
b-qcqDjeirxvdgW5kQVkEwSA	CHICKEN	r-Hb09_FIWLdMDpRBXeUHVuQ
u-P8jmRph25j1PxG6__HKDJg	DROVE_FROM	u--d2daWmftYumOaYpbD5D8Q
r-Hb09_FIWLdMDpRBXeUHVuQ	DROVE_FROM	u--d2daWmftYumOaYpbD5D8Q
r-wnHZKjrglm_65dFULTYNyg	REMINDED	u-ibfw2LUjalN25aZYDY6EuQ
u-hFDFHO70fyENIQ1bbtYufQ	FINISH	r-7F9U3q-VjuI_9foeZGD3Ug
u-kmC8nIGdQeLUOBCgRDzS8g	PICKED	Seconds
Vegetable_Biryani	PICKED	r-UrRN8xYobA49UWdw0-UyCA
Egg_Plant	FINISH	r-4pj132Q0iVvbMwcqksq4Ig
r-RDkE1pEXGOgR1Ng1jTKG7g	FINISH	r-unDE_iPvmr1ZlLzQ-hGWFg
u-dlYWvO6H80qteMucEVPeKg	FINISH	r-I0eT1WdbDcJ3_NfSiM642Q
r-05uRuO_r1rTWQ3ZsZVO8yg	VISITED_ON	r-buUZ8lssJrqB6TzyHNSlvQ
r-BeYJ0oDiTLaWk3Ye7mcROw	GETTING_FROM	r-Vjw4CEZpp6ZHCWAAUHAjqw
u-WBsqfXYQm6F2T0eMpCdaEA	DROVE_FROM	u-aEdwKSzDnHIadYuWya5y_A
u-it_6uhEFSk1ewW2VQqC5_w	REMEMBER_FROM	u-ce5beSlZZziUJUii1-c9FA
r-KG5H5LPswuhkKIyysLfkuQ	VISITED_ON	r-VKuxE-N_DJvmy9Vw2rTyCw
u-jxr4c-TH10Rgz3IqG6rgPQ	DROVE_FROM	u--d2daWmftYumOaYpbD5D8Q
r-jml-1AeZWyMBPIO6mI9hKQ	GETTING_FROM	u-W7igKTvhP1eS2WwUhrBNOg
u-_LpeXjhiuMUvRo5QZtc90A	DROVE_FROM	u--MUlkZydqw3_-ODWuZR-KQ
r-j3LumSrsgPBWdS67zf_n2w	CATAPULTS_TO	u-AayiOKLJ3u20zhOChF6RmA
u-UAULEDfAO5LMZh5l4bIVJw	REMINDED	u-O5OJNtE5gDOEDS7nqB-BYg
r-KYhrwqpkc-lxVJjPXtit6Q	REMEMBER_FROM	r-z-oc8zQV4nvz-p-GXB2eBw
u-O0evs8847ecEkeFMEuK4PA	REMINDED	r-ejk5mB9mwwfelAEfW_XxUQ
Konkani	FINISH	u-K1awfEsNfisnN1pwdr9kCw
Right	FINISH	r-1F1pGDa0SvuZaDgdxXPjrg
u-r3-LjnU8ABaDcbc7pHbj0w	CATAPULTS_TO	r-buUZ8lssJrqB6TzyHNSlvQ
r-rlVAMQXX4H_diXQ5UPt6IA	CHICKEN	u-WBsqfXYQm6F2T0eMpCdaEA
u-jqp5BEMzEUIWTCt6pezS2Q	REMINDED	u-ub8FMhBU6hJ0u1jjChlkyg
u-XgmEAWKBxlQ3vetV5ZXeow	CATAPULTS_TO	r-GQXZ_jZTd1Qwdj7opaYQyQ
u-BUezGOiuNFE10oQn4uKS8Q	REMINDED	r-B6zVVWVTjbSvIWCkX5mEHQ
u-HftGlY0aSWl0MYWY8JYCdg	CATAPULTS_TO	u-olilkogLmuKWp00F_8Au3g
u-Vx_JbcqF773BIShr_Ux2Hw	GETTING_FROM	u-7jL3l2fLoMIYPCBqhByagw
r-QkEU1N_nr3nS-S4Rd8iElw	FINISH	r-pNQ7XJIz4giOor6-fGNGSw
r-XxkOJhEQ0bVaahsDWNPj-A	VISITED_ON	r-YO_HEj1RO9h7e86Lvjkkyg
u-yxnhJ_lzLgZvczfNDk6L1w	GETTING_FROM	u-2K50D1mnCCO1sLcsABEQlw
u-kmC8nIGdQeLUOBCgRDzS8g	LOOKED_LIKE	r-Hb09_FIWLdMDpRBXeUHVuQ
u-2K50D1mnCCO1sLcsABEQlw	REMINDED	u-fjja1SUrhPYRZFwAseYBvA
r-oA4s32DUJJ0V1Qi5YCUFlA	GETTING_FROM	u-7jL3l2fLoMIYPCBqhByagw
u-XgmEAWKBxlQ3vetV5ZXeow	CATAPULTS_TO	r-v3iBePMr1cUvWY7lKlQUHA
u-LQC_djumWD5qkoInU8Od6w	VISITED_ON	r-kIVdLB56Q7caOLV_RR0pFQ
r-SuLSMFVvTllJ6Xwrh5IuVA	CHICKEN	r-Hb09_FIWLdMDpRBXeUHVuQ
u-dmjjDNiYRTyuCI3-Zmm8Pw	REMEMBER_FROM	Mesa-United_States
Veggie_Chow_Mein	SERVED_ON	u-TotJG9Wuji9m5m3KhLWajQ
u-aBjUd4riPiGBCGpWMCH7cw	PICKED	r-7BEYqR-rrGUMRvVhf7fa1Q
u-aBjUd4riPiGBCGpWMCH7cw	DROVE_FROM	r-bCNLPZO2z_zJZ08aXYWNYw
u-S9F2a5MxI22ke1LX7JnIxg	REMINDED	r-iwS0GrjJJaE5UzFju3hBJw
u-5SAuwOC7FX6dnlmgts_EoA	REMINDED	r-kIczL2T7gD6V7pY6OD_uqw
r-_h9XS3Q5ii7CmxTSmt5JGQ	DROVE_FROM	r-uqe0-SIqH7HKWSGNt1sRGQ
Saffron	REMEMBER_FROM	r-WO5NgfsLrjES5x5QMnlGCA
Shrimp_Pekoras	REMINDED	Chowmein
u-iRQ_YKpCBdaCwvc2X8_3NQ	SERVED_ON	u-2K50D1mnCCO1sLcsABEQlw
Mutton_Dish	GETTING_FROM	u-UAULEDfAO5LMZh5l4bIVJw
r-iJth0_U7kbK4VDx6MBfO8g	REMEMBER_FROM	r-bpK1JCVmkhFCpkNXeaKL6g
u-AayiOKLJ3u20zhOChF6RmA	CHICKEN	Sorry
r-zerZabI-xjJAbX5YhrbIdA	DROVE_FROM	r-f55vP8SMCj6sDNEnTTkJdA
Austin	VISITED_ON	r-AZQ21cTR4a4kc7hZZV_IEQ
r-IsX2uIp6D1fpI5jQ6nv7RQ	PICKED	Mango_Shakes
Vegetable_Biryani	REMINDED	Tofu
u-tRmW0n2d_Q4c_TXqfUSINA	CHICKEN	u-8s0UVoGPjVqbBOg85lprxQ
r-PscKi3ZWr9M715snf6mD6g	EATING	r-GsAzhQj2gjR5n4iMFUPHxQ
r-l9L8gzi9M87HyfduwM8B1Q	GETTING_FROM	r-AZQ21cTR4a4kc7hZZV_IEQ
r-MzdTJtU3uJ7GvHKw3fU2Wg	FINISH	u-pb9uB4NDh318hC70Hhe70g
r-RC0TCm156bDm-M33GSnugA	SERVED_ON	r-pB-eC9cvGuI-SqhLO625YQ
u-7qSOf2kaMWEhS544oIFR4w	DROVE_FROM	r-hur_A4F8xIT5kk3gINXq-w
u-eeeOWlcasXkFo7EN6ZSOMg	FINISH	Effective
r-YnleEy0ERsrhq_W7IWZUhg	FINISH	r-ONnxU4ZubKwtWSuRV0wGLQ
r-5r9Bg9cs5uZmdI1LnUwM-g	FINISH	u-XzjwALtc1m298JddEyiZWQ
u-7qSOf2kaMWEhS544oIFR4w	DROVE_FROM	r-j3LumSrsgPBWdS67zf_n2w
u-ZEA8vnoxMa016XzoDMyEDQ	VISITED_ON	u-mRv0t_dmwWZzm0-gFBnRlA
u-2ZAGNRs2kmUk1H2BOW_3OA	REMEMBER_FROM	u-2p7wg_4xvgs8nWLkrU-puQ
u-dsXDA0Dwspk47FFhi3oKvg	CATAPULTS_TO	u-UAULEDfAO5LMZh5l4bIVJw
Terrific	CHICKEN	u-WBsqfXYQm6F2T0eMpCdaEA
r-VxHdCM-IxK100PXx52Wu0A	VISITED_ON	u-kmC8nIGdQeLUOBCgRDzS8g
r-GQXZ_jZTd1Qwdj7opaYQyQ	DROVE_FROM	u-SuD01Q2izoPoI8-Xdv98yA
r-IsX2uIp6D1fpI5jQ6nv7RQ	CHICKEN	r-Hb09_FIWLdMDpRBXeUHVuQ
Quiet	REMINDED	r-wFR85whO67EyoYrWzNBJtA
u-X9sQEge15Ud_UyEoIk-l3A	DROVE_FROM	u-r3-LjnU8ABaDcbc7pHbj0w
Horrific	GOES_WITH	u-z4SLb3j6NK9Otb0u7XKqdA
u-ACxJcxfJyAiEqMvOlx1EYQ	CATAPULTS_TO	r-286WxNrQsUg32J9OJrxYBw
u-r3-LjnU8ABaDcbc7pHbj0w	CATAPULTS_TO	u-0LUt7xSvYgLpL0zBezI5QA
r-buUZ8lssJrqB6TzyHNSlvQ	REMINDED	u-9kO-feVTNdDRYIP_yM2o6g
Food	CONVINCED_WITH	u-HeiQX_tqWC6Vc6xUOJVlfA
u-4sAhsvqIlZIlmcR_UtdwYw	FINISH	r-638hQO5bBkdkbgxKOjaqYw
u-j6wLUT0ZXi-x0otelYIFpA	EATING	u-5x9HuvhQaUYVcb7wUElbLQ
u-z4SLb3j6NK9Otb0u7XKqdA	DROVE_FROM	u-1mWIqaYBzZAoz9dElYm9dw
Terrific	REMINDED	u-uPOZ5uwXHWhCsDrfz7HjiQ
u-PcbsVShGWMQ0vi-SAHtrQw	CATAPULTS_TO	u-0LUt7xSvYgLpL0zBezI5QA
r-pTce54di3EQMepKuCxl8Mg	GETTING_FROM	u-eSqCqWxdazlz9KGlNC7g_g
u-8BJ4VEi11-XN8a-rqjo3Qg	REMINDED	r-vzBN5saUJpEh-5ps29hDag
u-7qSOf2kaMWEhS544oIFR4w	DROVE_FROM	r-zmPld78u6ozhB6UdEK6dDw
u-J5eK0nDfQPlD0VeihS40kA	DROVE_FROM	u-r3-LjnU8ABaDcbc7pHbj0w
u-nH5ieqjJjej-2ps9vVWVQQ	REMEMBER_FROM	r-Swt3PZMk0YrQOh5_8ilRxw
r-0-stf0NJOCI4SvVG86gqYQ	REMINDED	Garbage
r-Hb09_FIWLdMDpRBXeUHVuQ	DROVE_FROM	u-iRQ_YKpCBdaCwvc2X8_3NQ
u-aypH7RlO7B0mXngTXXhFNA	GETTING_FROM	u-gJqr0dtJQHt6CAzcm-n8lQ
u-FJy6BVYJt0hErGnKaEv4uA	GETTING_FROM	u-eeHkL577GLoekAV9TsTTkA
r-LBMH067jwhB6opyW1rpauA	REMINDED	r-wEN-0JdZMDu6p0_4Rdrxdg
u-l5FI5i_ofdykPF108azphg	FINISH	b-5eDg_Y2N6aU_k7tIxoFXTg
r-JmaIRCVHRZZMkpacl6J2ng	REMINDED	r-l2HFVazS1mGzI-tiUHEgYA
u-2K50D1mnCCO1sLcsABEQlw	CHICKEN	r-Hb09_FIWLdMDpRBXeUHVuQ
u-jF6BdhSNhnaOVfleA8GN1A	GETTING_FROM	r-v3iBePMr1cUvWY7lKlQUHA
r-Hb09_FIWLdMDpRBXeUHVuQ	DROVE_FROM	r-2T2WRcX3E-5eobRfu3_xuw
r-jjREYoU8E88h6_z9ZpHNlA	FINISH	u-FyikYazQbNoOumDooOQyyA
u-_zQcRmXIznTaxTqcGCJimw	VISITED_ON	r-6iYuO2eDWIIPbT21k1cLxQ
r-ib72sA16PuzeY_DsXCTskw	CATAPULTS_TO	u-kmC8nIGdQeLUOBCgRDzS8g
Vada_Sambhar	CATAPULTS_TO	u-5SAuwOC7FX6dnlmgts_EoA
r-n9SsVHzGLcahi8WKfCxhxQ	GETTING_FROM	u-X9sQEge15Ud_UyEoIk-l3A
u-jbGyX_1V9ltMMM9uDr2Cyg	VISITED_ON	u-UAULEDfAO5LMZh5l4bIVJw
u-X9sQEge15Ud_UyEoIk-l3A	PICKED	r-r1p8i_4zLkKPTu7jAGaICw
u-qvPTw-ArHYI1n1n0cw3S7A	GETTING_FROM	u-O0evs8847ecEkeFMEuK4PA
r-16EquhLtluC7UeZRWdxjiA	REMINDED	Lamb_Mantra
r-Hb09_FIWLdMDpRBXeUHVuQ	DROVE_FROM	u-yiWOSHrLIliecmnzdZbxqA
r-vTKEZmhDbM6KjbHNCk_H7A	FINISH	u-eC7zSE8Mfbb13U6QQZyf5Q
u-AIm2ohj2pToS48YPh_Gy4A	GETTING_FROM	u-2K50D1mnCCO1sLcsABEQlw
r-R-VmOVmjWuIuL_c8rEnwtA	EATING	r-FrzNWQ_6VTm_K3icfPqcdg
u-eoNhrTvZaT7ygzTyD2pqMQ	GETTING_FROM	u-Rg0sroYoSGcPh98VTuNwYA
u-1oPcONupOFfYwIjxnF9HvQ	FINISH	Chettinad Dosa
u-eSqCqWxdazlz9KGlNC7g_g	CHICKEN	u-IgjjNyJt8l_SKcl0KPYgVA
r-P5meSCQpW-C37MR3nHHYFQ	SERVED_ON	r-VKuxE-N_DJvmy9Vw2rTyCw
u-M52QrSGBxYao0zqzTZdntg	DROVE_FROM	u-1mWIqaYBzZAoz9dElYm9dw
u-e9dm9VFdWeXwhCfNzvRBbg	FINISH	u-_-dxjQHV1ubJ2CIvmQrHSg
u-r3-LjnU8ABaDcbc7pHbj0w	CATAPULTS_TO	r-rlVAMQXX4H_diXQ5UPt6IA
r-pB-eC9cvGuI-SqhLO625YQ	PICKED	u-2qLQOJHBuGQTwoIFnMFmRg
u-2K50D1mnCCO1sLcsABEQlw	REMINDED	r-D4Du4VbVq4VtuxD54-wFIA
Lamb_Meat	VISITED_ON	u-7jL3l2fLoMIYPCBqhByagw
r-p-x-VxraLXjyrE-A_AgoIA	REMINDED	r-b7lB2DrZIyxSK9YQYM_qvA
u-S2eU-NFGMW8smuP2SHWkqw	VISITED_ON	r-YO_HEj1RO9h7e86Lvjkkyg
r-XtMXDKsDQZlOVhxwOxTCBg	DROVE_FROM	u-r3-LjnU8ABaDcbc7pHbj0w
Chaats	FINISH	u-1M5mfWuuMzUCYg4tTF1lyQ
u-IgjjNyJt8l_SKcl0KPYgVA	DROVE_FROM	r-j3LumSrsgPBWdS67zf_n2w
Medu_Wada	PICKED	u-LyjEBN-9r5BLStzwBgIfXg
u-eDpJkAhHzldXa-kcPAnCpQ	GETTING_FROM	r-6iYuO2eDWIIPbT21k1cLxQ
u-ZbU40C9od3CA2CANZJ-LQg	DROVE_FROM	u--d2daWmftYumOaYpbD5D8Q
Vegetable_Biryani	CHICKEN	r-zTPuj680mDAKDOuGZZOPgQ
r-Y07q4c1eFc0b8ho4QE_yqQ	REMEMBER_FROM	r-CmEo4lFkSh85UwZ_m7g8vQ
r-nWULDQaeQQYo6meLdQHjDg	REMINDED	North_York-Canada
b-sUGlSS0AF2xPYFEjvKJbSA	DROVE_FROM	u--d2daWmftYumOaYpbD5D8Q
Dirty	LOOKED_LIKE	r-ktXvtaMdkaWSdWvHrVDHHA
Strong	VISITED_ON	u-pXZu2slCZS3BbFyG_UCG5Q
r-rMlElxVn8D5ZYa6z6GSv6A	CHICKEN	u-7qSOf2kaMWEhS544oIFR4w
u-khRG2oMmAOXA7C1U7P1j4w	FINISH	r-MKZqqG8bHWnJdViYGz7MfQ
r-SuLSMFVvTllJ6Xwrh5IuVA	REMINDED	u-pW1Dy4BWssf8vlkjgKhbgw
u-WBsqfXYQm6F2T0eMpCdaEA	DROVE_FROM	r-QhLritd5w-VUfhcPSc4DQA
r-5ob5aD70iOP1y2P7tnDQ8w	GETTING_FROM	Lamb_Shank
u-S9F2a5MxI22ke1LX7JnIxg	PICKED	u-ckBI6eKWCL-OwT_MAwwZiA
r-zerZabI-xjJAbX5YhrbIdA	REMINDED	u-wZ_Re2rPJ6vQAOkV2TqLmA
u-pXZu2slCZS3BbFyG_UCG5Q	REMINDED	u-t_fiqKCMYUXa9aahze1qFA
u-ySzbcro0xZoz0xfbhm75YQ	GETTING_FROM	u-pmeGrUv6S22pf38FTRYCzg
r-nWULDQaeQQYo6meLdQHjDg	REMINDED	u-_qghHnjFaQNgmRRUCHwopQ
u-thzz3CVK6feb7ZK_yG4vmA	REMEMBER_FROM	r-mOeYIEgtp41yeADjFZGPKQ
r-W77W48XgerisG1sOOJyL7A	SERVED_ON	u-pXZu2slCZS3BbFyG_UCG5Q
u-lF_EPZ-LL1Z1EP3mSMR_ug	FINISH	r-csXrkwibMYWpzpg4R8GB7w
r-pB-eC9cvGuI-SqhLO625YQ	PICKED	r-DkN1L3EFmxW_0L7CeY1-fg
r-gZ3htKFR5q0x7Nv6EDVt5Q	VISITED_ON	r-3TgtF4SvYdchMA39otX34w
r-dkcgu0cstw04dC5Jva7RHw	PICKED	u-xneOtZp6CfskRuBEy3hIXw
r--58OvqiYSR4ZXORG6JPwng	VISITED_ON	r-kIVdLB56Q7caOLV_RR0pFQ
u-Jwb1d3jAzmnIFjXg8b7OJA	GETTING_FROM	u-kPhhm_zcIsNYYtQthLX92g
r-zfPfqvpnG1BKHQH2yGg4ZA	CHICKEN	u-WBsqfXYQm6F2T0eMpCdaEA
r-Q2eGO2M-T9JBGvPLpV1g-w	REMINDED	u-PdBWNah2YanRXEZovFPwIw
r-ZGS_iYEFizqepncSNXMs1w	FINISH	u-C-DwkgYb1kdzbEbpvQ9l2A
r-kll_G01ue2JbmcjxG-b3Lw	FINISH	r-_hFnUmYQYZXttOgy6eHvkg
r-HpXHo5Tcc3SMUzSCYGM-CA	GETTING_FROM	u-tRmW0n2d_Q4c_TXqfUSINA
r-I4xqXC3yWrrlbzhnBiJg5Q	VISITED_ON	Payasam
Sambar	EATING	Comfortable
r-o7cYgVoPYaLrJV9au86F5A	CHICKEN	r-Hb09_FIWLdMDpRBXeUHVuQ
u-YAqYMJX38OXU1WheFrwcGg	CATAPULTS_TO	Vegetable_Biryani
r-kg9_U49febhbIBhRaPhTrQ	GETTING_FROM	u-aBjUd4riPiGBCGpWMCH7cw
u-1mWIqaYBzZAoz9dElYm9dw	SERVED_ON	u-0LUt7xSvYgLpL0zBezI5QA
r-16EquhLtluC7UeZRWdxjiA	CHICKEN	r-Hb09_FIWLdMDpRBXeUHVuQ
u-FvivYrK-o2dp_Sk5ips8nA	REMEMBER_FROM	u-3aGRbM1U4iABY7CLsMOxFQ
u-h7jpFoGLgBtCUHpSt6QOrA	REMINDED	r-JzBe9Ugoy58LSRdCB8utDA
u-X12ACTgVYCp9nkLVeq-59g	DROVE_FROM	u-7jw2VAbnGkr0GF6evuvViQ
Lamb_Shank	CHICKEN	r-Hb09_FIWLdMDpRBXeUHVuQ
r-2I8ZHewqU8emBh0rb6p4LA	GETTING_FROM	r-286WxNrQsUg32J9OJrxYBw
u-sAXmGzzv4ovtSL8slU6i4A	VISITED_ON	b-qcqDjeirxvdgW5kQVkEwSA
u-3zdB0SSrXIDIgsrOmhdUtQ	REMINDED	u-kB9QPxar7HLKIpK7qeMnFA
r-Hb09_FIWLdMDpRBXeUHVuQ	DROVE_FROM	u-r3-LjnU8ABaDcbc7pHbj0w
r-pB-eC9cvGuI-SqhLO625YQ	CHICKEN	r-Hb09_FIWLdMDpRBXeUHVuQ
r-6WToskU-GFBdfJt7i0nGDg	GETTING_FROM	u-kPhhm_zcIsNYYtQthLX92g
Sauced_Chicken_Dish	DROVE_FROM	r-5dzV5yY_M8Y4nJGY5EXZ9Q
u-0LUt7xSvYgLpL0zBezI5QA	PICKED	u-nszzLIrhrbJRDNOX0W50Fw
u-idbqvka5fMTOjD68z4WRyQ	VISITED_ON	u-O0evs8847ecEkeFMEuK4PA
u-IgjjNyJt8l_SKcl0KPYgVA	DROVE_FROM	u-SS3pK8z82S-SNHryfppwOA
u-XEqApY2jtSPdGptPsJHumg	FINISH	Coconut_Rice
u-XgmEAWKBxlQ3vetV5ZXeow	SERVED_ON	r-kIVdLB56Q7caOLV_RR0pFQ
Delectable	GETTING_FROM	r-JmaIRCVHRZZMkpacl6J2ng
u-X12ACTgVYCp9nkLVeq-59g	DROVE_FROM	u-XgmEAWKBxlQ3vetV5ZXeow
Chicken_Kebab	FINISH	Rice_Pudding
u-O0evs8847ecEkeFMEuK4PA	CHICKEN	u-7qSOf2kaMWEhS544oIFR4w
r-kQd1dP1W5eUljbfbVW9pqg	GETTING_FROM	u-eSqCqWxdazlz9KGlNC7g_g
r-AZQ21cTR4a4kc7hZZV_IEQ	PICKED	u-xneOtZp6CfskRuBEy3hIXw
Bad	VISITED_ON	u-Kp41QyEY4z9q48VdRPtdEg
u-bNVWxkusRF2SXlBtE37OIA	GETTING_FROM	u-W7igKTvhP1eS2WwUhrBNOg
r-9O9iuyDWyXcN61HiZTs3Ew	GETTING_FROM	u-AvC5XQAElcGAAn_Wr5auEg
