subject,predicate,object
b--p-CuUMzN0HQz9OCQ8SZOA,HAS_REVIEW,r-qsSKMPZLV6MzEDEMhu7dHA
u-gQC1yHLw8WYEWl2lhcTkdQ,VISIT,b-Dd1w7xR7Xs3bthwusgy33Q
Uthappam,IS,Uthappam_Delicious
u-KFQJvl2ZfGZP44QuKr-0mQ,RATE,b-3wJ4kJsJhayyfJ30HsS04g
u-ayVBf253VsV2Es7tD-rgug,LOVE,Indian
u-M1Nq20leiylPt0Bi5d_BEQ,VISIT,b-DxbdfvNYPCyiLJDDPJK3Tg
u-7I4DSE3vzdLcU6QRIvQeLQ,VISIT,b-Pzs43Fkub-6A9hA1zqpF_w
u-bsGkZCUrRpLanzUzmo2Kdw,WRITE_REVIEW,r-ciM8jvUxn40dQyL1XC1wVg
Food,IS,Food_Delicious
u-o3R1gaTwsAzVabfMtVvIMA,RATE,b-h-psPOmlY0mCOflb3S3rdQ
b-ZJ0gQp0fcnIDiZv0m9--Gg,HAS_ASPECT,Price
u-_1SKSmLqpHBqWh09DxQMfw,HAS_FRIEND,u-HdUpeg9oYzvzHIgeJuM2uQ
u-tfcWQ_mKwgLkWu5pvpmsvg,VISIT,b-qMw7mFHAjgG7qN82aXmeZg
u-mEAeKSQ4Xsuv2nGqKWK5Sw,RATE,b-TAnzFr9NixvCbvUdJMWL5Q
b-0cf-w9PK5gLkBkitL3bdqw,HAS_MENU,Mango_Lassi_Drink
u-5gTr-5JwKk_rS3U8jsmm7g,RATE,b-YywWkWX235ZurTWSLqNPog
u-IZqX5O-q2cBoJ7beQfJg4g,VISIT,b-0cf-w9PK5gLkBkitL3bdqw
b-scM6rLQqoz5dEIgwz_JFsg,HAS_REVIEW,r-HeJPN9OzF3GxJmaEPtt5Bg
Chicken_Tikka,IS,Chicken_Tikka_Perfect
b-Eu-M3y8a5bIxIRXlCj9yHA,HAS_MENU,Rice
b-YywWkWX235ZurTWSLqNPog,HAS_REVIEW,r-oaEKD82bG2LEBCjyRp4DRw
u-Uaqawx2iD0mT5YP_akJrJw,WRITE_REVIEW,r-NLaGpX4hCMraZ9OukN0AnQ
Service_Superb,ASPECT_ATTR_FOR,b-Dd1w7xR7Xs3bthwusgy33Q
u-_hJBdcaVc5QCvninKGpMUg,VISIT,b-Pzs43Fkub-6A9hA1zqpF_w
b-S4qUsi44l5D9BbUCkhwQEA,HAS_REVIEW,r-pkQ5fBJLS8hqnq74P1TICA
u-F1_WWxCjdHhMKBjPS9ljvQ,WRITE_REVIEW,r-xUrMUNCK5w0yEk4E6jTzXg
u-tuDcXNqAks4oFPwPoQrkxg,RATE,b-MMOEaEcq-bsg_RYWHSC4_g
u-5ZF8fsF1byZEd8cmVrHjyQ,RATE,b-MMOEaEcq-bsg_RYWHSC4_g
b-Eu-M3y8a5bIxIRXlCj9yHA,HAS_REVIEW,r-ljWMh4Z9cZ-niQn0ZDcgoQ
u-Vlssq9KlNYZEr1YxL6VFFw,RATE,b-bO_JX-lDo5D5JGZhK5Ly3A
b-oX6y1Jm1jYLoWifmIrtaSQ,HAS_ASPECT,Staff
Price_Reasonable,ASPECT_ATTR_FOR,b-gA4bnK91phT5FTzG4ki3Dw
Food_Delicious,ASPECT_ATTR_FOR,b--p-CuUMzN0HQz9OCQ8SZOA
Chicken_Makhani,IS,Chicken_Makhani_Rich
Soup_Good,MENU_ATTR_FOR,b-Dh2Z3WNu6M71LbMNHEeg3w
b-3wJ4kJsJhayyfJ30HsS04g,HAS_ASPECT,Food
b-qcqDjeirxvdgW5kQVkEwSA,HAS_MENU,Pancakes
Price_Friendly,ASPECT_ATTR_FOR,b-LwXo16VrGPhhOWc_Wj7ifw
u-ktrb5N_Ue8Ffmu_36dhTog,WRITE_REVIEW,r-qf4nIok9YaiFFDDBafGvGQ
b-BxkVct02QHybp54ATZgkUQ,IS,Perfect
b-COfzp0tze_F8N13zn40zzg,HAS_REVIEW,r-sGQNM1hdjFZ838kv9lz2zw
u-TRBCyBaHTwWim71gizj2VQ,RATE,b-vZu3xxlMQSqFngDgdFLfXg
u-wDwz_819CZDcO1VY7ts5WA,WRITE_REVIEW,r-9sKGTJZBjbTziorh-teWKA
u-2XrLB9n3qkEQjbXpcu7GSQ,VISIT,b-5VOqWjRXUPc7b1A_NSI9mQ
u-g9MYC0QTNPPmbIdrtdan9A,WRITE_REVIEW,r-OT2CkwdbHM7U16CSiKsIHQ
u-Uea_V6r3pzynOXm_NoNBBw,WRITE_REVIEW,r-OyfUpyAlGHWJU3eGV4TbYg
b-ZNdV9ytExuxPTXSN8i2xhw,HAS_REVIEW,r-uJY5uhXIDEy-JnlQW0hvWg
u-kXufUeBbx4fZDXYRrG0uoA,VISIT,b-xYpAg60oZVbOtSYgrOKBgQ
u-jXdnU8ONRIHVzhmDBvlmOQ,VISIT,b-f7RXwcus_-EOsR0q5ctVjw
b-xYpAg60oZVbOtSYgrOKBgQ,HAS_MENU,Garlic_Naan
b-rYziPPEILDXJ_F5uKR--YQ,IS,Fantastic
Sweet,MENU_ATTR_FOR,b-DKqhCd3Vwl3CEo8vUHhLYg
Sweet,MENU_ATTR_FOR,b-DJuQgsoj-qmU0i5iTAa4aA
u-Eee76zaB-AvJyKdIU7LwOQ,WRITE_REVIEW,r--gutqvGR4iy42eSM2rk3_Q
u-zyYWUdaodH0h1jCZAvFRPg,RATE,b-DxbdfvNYPCyiLJDDPJK3Tg
Chicken_Wrap_Messy,MENU_ATTR_FOR,b-8PZGCtgG5MZKvz9i3B9gCA
Service_Excellent,ASPECT_ATTR_FOR,b-BxkVct02QHybp54ATZgkUQ
u-aK0z6fERUorAgFgP-0UCGg,VISIT,b-0zTLMQOZhiCp9GFtegiFsw
u-VV2NvlUq71E6QQya8tRbtQ,WRITE_REVIEW,r-QhLritd5w-VUfhcPSc4DQA
u-8TBJmiN1Xnvuqr4ksBDdpQ,WRITE_REVIEW,r-sXLUqxVPLT1yTY4_4G6HNQ
u-UYgX6kFtI8TBOAu6QPb_WQ,VISIT,b-LwXo16VrGPhhOWc_Wj7ifw
b-3wJ4kJsJhayyfJ30HsS04g,HAS_MENU,Papad
b-UaMq3DUhtkoZ5WCEQm2T9g,HAS_ASPECT,Price
u-zaZvCeb1DRBVwtLl0mmKwQ,VISIT,b-f6T2YaTfGoSyQV-l4jzrjw
b-8PZGCtgG5MZKvz9i3B9gCA,HAS_ASPECT,Food
u-kM8zMoCBfsBbsODEPEJpsQ,VISIT,b-dg4EMyM1feTEWfLPSbunrg
Hard,MENU_ATTR_FOR,b-ZDx7kt4aOPTlmYTqXDrTGA
Sweet,MENU_ATTR_FOR,b-xYpAg60oZVbOtSYgrOKBgQ
Food_Great,ASPECT_ATTR_FOR,b-35KvoWbA3kEsdckaWqG3OA
u-3WeQUfzOZxZR71NnTWKMEg,RATE,b-qhKNZTtTT6GLnPzQny-v9Q
Customer_Service_Fantastic,ASPECT_ATTR_FOR,b-h3_Jnt_y0VPaC5x5kCWY0w
Mango_Lassi,IS,Mango_Lassi_Nice
Tikka_Masala,IS,Tikka_Masala_Good
u-EMS4k8X5NYE1MxO2KK5pFw,VISIT,b-gXLiBVCHIqoPEw2CaP3QmQ
u-GaJHjbnfOsoxR61XbXDNBw,RATE,b-0cf-w9PK5gLkBkitL3bdqw
Food_Good,ASPECT_ATTR_FOR,b-CvOxwAhmwwy3sQRKYVAjGg
Food_Amazing,ASPECT_ATTR_FOR,b-0zTLMQOZhiCp9GFtegiFsw
b-MMOEaEcq-bsg_RYWHSC4_g,HAS_MENU,Tikka_Masala
u-Hb8iiLoikkchkQLh7yhndA,VISIT,b-xYpAg60oZVbOtSYgrOKBgQ
u-eHk_vZvIUdZPH-7-I-Oybw,VISIT,b-Dd1w7xR7Xs3bthwusgy33Q
u-9_EcNE9epSAR_nxxChifqw,VISIT,b-Q8uwArm4h8bhsqxw84Gd8w
b-DJuQgsoj-qmU0i5iTAa4aA,HAS_REVIEW,r-Fp6IfC4Gx4kqvawrrQNsTA
u-mVVfJBBJ8OvhHsxncB4OWw,VISIT,b-kG0N5urz2lkPEBDPjqFR3w
Bread_Good,MENU_ATTR_FOR,b-vZu3xxlMQSqFngDgdFLfXg
u-bPQMtrXUy8dMCJu6SHxxaA,VISIT,b-BxkVct02QHybp54ATZgkUQ
u-xmZMeX06FTJwZR7swym-ZQ,RATE,b-Q8uwArm4h8bhsqxw84Gd8w
u-5QFws6LKMCZCgKHl8WR1jQ,RATE,b-kfwpXBsMQLqhUvscWB6b9g
Cold,MENU_ATTR_FOR,b-MMOEaEcq-bsg_RYWHSC4_g
u-bfRayXtVpMEKjiHlKaJhYw,WRITE_REVIEW,r-fvzagswqJURWAwzH_PqUkA
u-AeYL-4rVuWfgeDJ-PGwlEg,WRITE_REVIEW,r-2gcMSTZSRZQMpMBIDPrZrg
b-yy_FhzQCeLreV21OBccPAg,HAS_CATEGORY,Indian
u-O4F1_e9MLVO7AKeGDWg5uA,VISIT,b-geMa0_CtMOctkUhf_JXK9Q
u-9xSqmkaWS8WWq30J8uEJ-w,VISIT,b-0cf-w9PK5gLkBkitL3bdqw
u-9NM0z6f9-zgUmkUMs1Xiig,WRITE_REVIEW,r-vPUU2C1lghMTdHLNRmIaIA
b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_MENU,Chicken_Vindaloo
u-FT2_DenBRHcXFqzvoTUZoQ,ORDER,Dinner
u-pj5MOVaZkHmgCD0Atxw0wA,VISIT,b-S4qUsi44l5D9BbUCkhwQEA
Sambhar_Well,MENU_ATTR_FOR,b-gXLiBVCHIqoPEw2CaP3QmQ
Curry_Good,MENU_ATTR_FOR,b-hubbaEcYPYEZu5Ziz6i0lw
Price,IS,Price_High
u-y8gXdUf_IBaLzwaS2_0K3A,VISIT,b-bO_JX-lDo5D5JGZhK5Ly3A
u-1jBjcTzcvQ4mLLLPIcXAkg,WRITE_REVIEW,r-vQ6NOYrfY1fCbWgzbCALPQ
b-gXLiBVCHIqoPEw2CaP3QmQ,HAS_REVIEW,r-xNGZBuFUbjy4iMDtkGAogA
u-4cZ3f3i0Slv2W9mLN_VZBw,WRITE_REVIEW,r-MIpg9HHVpPYWJyf6Q4ZIkA
b-kG0N5urz2lkPEBDPjqFR3w,HAS_MENU,Garlic_Naan
u-vn4c4h-GOAv9YPoyvGYgqQ,WRITE_REVIEW,r-vT9Yx0iT6TAMrUOeGwHl4w
u-badqE935Y9A1_lSNVrE4lw,WRITE_REVIEW,r-9AIWGhdNtJyg-OWckxHqqg
b-kG0N5urz2lkPEBDPjqFR3w,HAS_MENU,Naan
b-xA6L2w_TlbxHubb1xeBE8w,HAS_REVIEW,r-jdeXUl1zbo8Vsf0TENrYVA
u-LPWSfa9mGf59P7KZg_eOdA,RATE,b-ZNdV9ytExuxPTXSN8i2xhw
u-wc3pB0DseSKRcb9Ot0DhBg,WRITE_REVIEW,r-NXolTzH1E3Wyd6BjYg6Nvg
u-cuB0D5lUemrEow1FOLv54Q,ORDER,Beef_Tika
u-0qEVktiRfmZAQY0d28KAyQ,WRITE_REVIEW,r-u2z1YF7pfb4lbHqSFRIRkA
b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_MENU,Karahi_Bhindi_Masala
Food,IS,Food_Good
b-7xA6iSP0Ndn08tpBFQtUKA,HAS_MENU,Khums_Matar_Paneer
u-Rc_53_nG895CxygTRRuDmw,WRITE_REVIEW,r-Hb09_FIWLdMDpRBXeUHVuQ
u-gZUVSBm-BWntWeQTYH04UQ,VISIT,b-Dd1w7xR7Xs3bthwusgy33Q
Staff,IS,Staff_Rude
u-7hJULn2o6Zv1Lwd860YCGQ,WRITE_REVIEW,r-FXva3kbwrn0W8oevqn5yUQ
u-CNSxXqTose2P5Lf_MMXfDw,ORDER,Saag
u-ny-CJ25tLDl8_Oi7j-lbxw,WRITE_REVIEW,r-L2wH8pHlFk7T5MSblw2ppw
u-5I4_OEvrdTRhrk6ipGVQEw,RATE,b-oVuZtlCFg_zF090Nhtp0Ow
b-DxbdfvNYPCyiLJDDPJK3Tg,HAS_MENU,Chilli_Chicken
b-SxuD7iY8QO88PNbSdNmNKg,HAS_ASPECT,Service
u-W7ZFD8xThjOX7_O0FDH5kA,WRITE_REVIEW,r-xxbbe8PzCmcYZZTyJFpRJg
u-LyqT8vT-cQr0c13_pulFoQ,RATE,b-oVuZtlCFg_zF090Nhtp0Ow
b-0cf-w9PK5gLkBkitL3bdqw,HAS_MENU,Naan
Lamb_Skewer,IS,Flavourful
u-JiRZzPhGTbcnzTpu-BsyEw,VISIT,b-oX6y1Jm1jYLoWifmIrtaSQ
b-TAnzFr9NixvCbvUdJMWL5Q,HAS_REVIEW,r-oa7haP0dWh6AnSx-7N7K2Q
Staff,IS,Knowledgeable
b-kG0N5urz2lkPEBDPjqFR3w,HAS_MENU,Sauce
b-oX6y1Jm1jYLoWifmIrtaSQ,HAS_MENU,Sauce
u-Pawfx4OcRqHObTJ6rx9eiA,VISIT,b-YywWkWX235ZurTWSLqNPog
b-BoiAZQB9AHRvazM055GFOw,HAS_REVIEW,r-JF8mIvYVeQvig925f8WfaA
u-Ug5HkPvMuvIMN8CSGPG30w,RATE,b-5eDg_Y2N6aU_k7tIxoFXTg
b-DxbdfvNYPCyiLJDDPJK3Tg,HAS_MENU,Chilli_Chicken
Food,IS,Food_Delicious
u-FAK3hFGYzaGWLqh0_IouSg,RATE,b-Dd1w7xR7Xs3bthwusgy33Q
b-hubbaEcYPYEZu5Ziz6i0lw,HAS_REVIEW,r-qvPINrGyFh9nSqKo6ZXzDg
b-hubbaEcYPYEZu5Ziz6i0lw,HAS_MENU,Chicken_Korma
b-OZwMMnRncrp7_uC-N3vV1Q,HAS_REVIEW,r-riGb1WL3kwYV7brKhcwI1Q
u-GyYqBkJEvO7KWFnInf62fQ,ORDER,Meatballs
u-Xz3SjQ_AsLSqTqd1ijWrJg,RATE,b-35KvoWbA3kEsdckaWqG3OA
u-x0bnLe4pwjnzhZQpb6oEFw,RATE,b-gXLiBVCHIqoPEw2CaP3QmQ
b-35KvoWbA3kEsdckaWqG3OA,HAS_MENU,Chicken_Biryani
u-EFddU8cj_WTKTBFgdatFBA,RATE,b-_PKXarw3GjlbwbXhjdpUMA
u-FoVZlbbz0e19YiOR8DCYLA,RATE,b-CB99Ifh4OnBTnuNdRjj_fQ
u-qCY467Gp1D1Yrn_N9BpT_Q,RATE,b-bO_JX-lDo5D5JGZhK5Ly3A
Tender,MENU_ATTR_FOR,b-Q8uwArm4h8bhsqxw84Gd8w
Food,IS,Food_Hot
u-yCv2y75e_ToyACznsRETvQ,RATE,b-c4qE3ygdEQUD9dZjganavA
u-fDBybzZAL5UDscd33HCXyA,WRITE_REVIEW,r-GFbEFH0bsYxNKHwN6Sj33Q
u-vRMlt2TBsH5_efNSJLGD7w,RATE,b-ICUCAzUZFiWkYs7iCtNCQg
b-dg4EMyM1feTEWfLPSbunrg,HAS_ASPECT,Food
u-omX8yy0m_dZCnv3GJfYiSA,ORDERED,Food
u-GfBlSfHWrN7H91ImU4nYLA,WRITE_REVIEW,r-Oesgvf_l-w_PlQFrtBrwRw
u-eCXVCeuPo2lP09zh29X-sw,RATE,b-BxkVct02QHybp54ATZgkUQ
b-vCx6uieEF0W0mKFK4sT3Yg,HAS_REVIEW,r-e2B6l0o-FOt_tTcGcPHBSg
u-G__WfBm_nr4CcZNvjWlAJQ,VISIT,b-GC9Re0tKAnecMww3DB638g
b-Pzs43Fkub-6A9hA1zqpF_w,IS,Friendly
Tempe-United_States,LOCATED_IN,United_States
b-S4qUsi44l5D9BbUCkhwQEA,HAS_ASPECT,Food
Food_Delicious,ASPECT_ATTR_FOR,b-hubbaEcYPYEZu5Ziz6i0lw
Food,IS,Food_Authentic
u-dzsaAbiytx06FE-Fkn4yMg,RATE,b-DKqhCd3Vwl3CEo8vUHhLYg
u-COX5-jGgBP5J_lUHlm5Mtg,WRITE_REVIEW,r-shS_iSXXb0ZVWCUZYMpjUA
u-CxDOIDnH8gp9KXzpBHJYXw,VISIT,b-eRZuxjnaMviiVyvhejwTBQ
u-fytzjEDD-7v7LHLsqqdxkg,RATE,b-8PZGCtgG5MZKvz9i3B9gCA
Price,IS,Price_Ridiculous
b-sUGlSS0AF2xPYFEjvKJbSA,HAS_ASPECT,Staff
u-Vm4hswv3DflUnzO9IGTjaA,WRITE_REVIEW,r-Ww2mLbVu63AaPRF_XKNojg
u-CxDOIDnH8gp9KXzpBHJYXw,RATE,b-eRZuxjnaMviiVyvhejwTBQ
b-tIXpNWE6R1yadAThbSefHw,HAS_REVIEW,r-y0XJa94w6yGJ4KSU4kEwzA
Chicken_Vindaloo,IS,Chicken_Vindaloo_Good
u-sdGFVeFfcpp0PQsZpxiBOA,VISIT,b-xA6L2w_TlbxHubb1xeBE8w
b-Pzs43Fkub-6A9hA1zqpF_w,HAS_MENU,Mixed_Grill
b-De8Z9rLZOmf-icp3gDxCZA,HAS_ASPECT,Food
u-1zoenxehqs5enWxtcRfXyg,RATE,b-tIXpNWE6R1yadAThbSefHw
u-9W0mvEI5u1LmoNEPSXNwyQ,RATE,b-GC9Re0tKAnecMww3DB638g
u-TcgES9Hrsz4g8EIBvXqWvQ,VISIT,b-DeI4KqEeWy0cTdh7Wy5_RA
Richmond_Hill-Canada,LOCATED_IN,Canada
Chicken_Tikka_Masala_Perfect,MENU_ATTR_FOR,b-xYpAg60oZVbOtSYgrOKBgQ
b-MMOEaEcq-bsg_RYWHSC4_g,HAS_ASPECT,Food
u-kQidzHaomuoW_xzIzKgleQ,WRITE_REVIEW,r-7dkFk93mZ6RjUCwVa-e_Eg
u-OXLbpZSZiOLPry6rsA2YVQ,WRITE_REVIEW,r-5HcK0U2II-NTrBWke_2ZgQ
u-s4qr7ZsGq-5tjqNIuhZdlg,WRITE_REVIEW,r-Onn9dADAhaRKmQhlcsA8Ow
u-lvbPRZ6ruEjm38_QMivaBg,VISIT,b-8PZGCtgG5MZKvz9i3B9gCA
u-ks_ihKgQZroQiO9N9sNtfA,VISIT,b-oVuZtlCFg_zF090Nhtp0Ow
Price,IS,Price_Good
Staff_Friendly,ASPECT_ATTR_FOR,b-xYpAg60oZVbOtSYgrOKBgQ
b-P4zWgzYzy03D9LeDTpKuDg,HAS_CATEGORY,American_(Traditional)
u-oenzGqlVMNpVq_Qrn6iAjA,VISIT,b-LwXo16VrGPhhOWc_Wj7ifw
u-_MkZoRNKeJ9pAk8tOMSddA,WRITE_REVIEW,r-x5NPOZY5O_Gp5La0mU6FCw
u-bXYCFQxstmBU2QxrK9KHcg,RATE,b-xSuR0FK8cHzBLXowCV3Pyw
Ambience_Beautiful,ASPECT_ATTR_FOR,b-xYpAg60oZVbOtSYgrOKBgQ
Food_Good,ASPECT_ATTR_FOR,b-_PKXarw3GjlbwbXhjdpUMA
Service,IS,Service_Amazing
u-m78ZLMMybP-X0M1ULZD7yw,ORDER,Masala_Tea
u-au64Kzd7UKKT6YYWra1GgQ,RATE,b-8PZGCtgG5MZKvz9i3B9gCA
b-gXLiBVCHIqoPEw2CaP3QmQ,HAS_REVIEW,r-irGy98oB6v7acAGhlHjT1A
u-iDKACypOoE2mIuzRJubLAA,RATE,b-jb0-JZMt-6Khsh-VwsDtLQ
Food_Worth,ASPECT_ATTR_FOR,b-or1daHtUK9b7sqFRPf62GQ
u-0HuRMxh_x8snXcKu6RYDMw,RATE,b-De8Z9rLZOmf-icp3gDxCZA
u-81aF7KXGArZA6RzNgwAqJQ,RATE,b-kfwpXBsMQLqhUvscWB6b9g
b-c4qE3ygdEQUD9dZjganavA,HAS_REVIEW,r-GKI9y6RMo70rLmWB6_UMBw
u-EPrjJQP35muVElDb18Fddg,WRITE_REVIEW,r-dT5Ui3G1ReiHGPFeQs119A
u-CPuL_Jdh2PpngXDyOAEQcg,VISIT,b-De8Z9rLZOmf-icp3gDxCZA
u-W1pBNUkuskuLM373nQJ0-g,RATE,b-Q8uwArm4h8bhsqxw84Gd8w
Masala_Dosa_Splendid,MENU_ATTR_FOR,b-SxuD7iY8QO88PNbSdNmNKg
b-TTCZkfxt0GW8YUzdVe0PrA,HAS_REVIEW,r-Wyf5ixGoK9iscwP0ZVYVVA
u-3BGtMr2Qjus5eIOFZt9NDA,WRITE_REVIEW,r-dKRgvF0GK1o4VFZgxCItxQ
b-Pzs43Fkub-6A9hA1zqpF_w,HAS_ASPECT,Food
Beers,IS,Beers_Warm
u-LOtvSPSXXJ1WyrbPCX5fSg,VISIT,b-gA4bnK91phT5FTzG4ki3Dw
Service,IS,Service_Slow
b-TTCZkfxt0GW8YUzdVe0PrA,HAS_REVIEW,r-YyEmP7YIJYgsZDW2cTxDag
b-xSuR0FK8cHzBLXowCV3Pyw,HAS_MENU,Chaats
b-UAXz2KC1aXpxzV-MLdXbmQ,HAS_REVIEW,r-kx1Eijg2OaERt_eRoEIHgQ
b-gsc1j3RZQdScBnULSwaV9A,HAS_ASPECT,Food
b-vCx6uieEF0W0mKFK4sT3Yg,HAS_REVIEW,r-d1Ok4o7PSrJ2j6f1CZFQdg
u-8kNenwR-lyME4dIGDbPs-g,WRITE_REVIEW,r-84sSjH9tY-52jQlgNCVDMg
u-W66pmCWETd2cFnWT4Mrn3g,WRITE_REVIEW,r-s7zmyL9FXIFs25JmR5Qd5g
Chicken,IS,Chicken_Dry
Chicken,IS,Chicken_Tender
u-pEEhhuVvzq3XwXhFeE8P3Q,WRITE_REVIEW,r-GXHM9lPdvOJyZMqrX5LWzw
b-vCx6uieEF0W0mKFK4sT3Yg,HAS_REVIEW,r-L_2-rFYJD9W-eWR_rC4Xlg
u-xig3gl2cy1EdXKe8PfCuFA,VISIT,b-NHDdAZJqS3cf_K6HYxoQ9w
b-P4h8kgy_48oE9vCHJc4BCQ,HAS_REVIEW,r--Slv6ixQ9PZFW2pWoyHWYA
u-m5b84-nPPVNLlDtZyVGZ3w,VISIT,b-8PZGCtgG5MZKvz9i3B9gCA
u-M1z-bDg97redqpSsbgGCeg,VISIT,b-0Hy2VE9tqTo4QbovMz3xrQ
b-S4qUsi44l5D9BbUCkhwQEA,HAS_ASPECT,Food
Food_Bland,ASPECT_ATTR_FOR,b-kG0N5urz2lkPEBDPjqFR3w
Biryani_Chicken,IS,Biryani_Chicken_Good
u-d-0GH8rqF3Mjih3jSuWqjg,WRITE_REVIEW,r-z1vFMLTuqcOcT0B8zaAE0A
Food_Great,ASPECT_ATTR_FOR,b-oX6y1Jm1jYLoWifmIrtaSQ
u-rYJZokgSX-RwOhbOsQrMfA,RATE,b-c4qE3ygdEQUD9dZjganavA
Singaporean_Noodles,IS,Singaporean_Noodles_Dry
u-oNHDgnRGZ1KkeTqBIFjBtw,WRITE_REVIEW,r-6gEeSVTkSkjhbeMpAdUNqA
u-sAXmGzzv4ovtSL8slU6i4A,RATE,b-Dd1w7xR7Xs3bthwusgy33Q
